================================================================================
  PLUS33 Coffee ERP - Live Database Table Row Counts
================================================================================

Table: advance_shipping_notices                 | Count: 0
Table: treasury_calendar                        | Count: 0
Table: treasury_compliance_logs                 | Count: 0
Table: treasury_counterparties                  | Count: 0
Table: treasury_documents                       | Count: 0
Table: treasury_entities                        | Count: 0
Table: treasury_event_store                     | Count: 0
Table: treasury_exceptions                      | Count: 0
Table: treasury_investments                     | Count: 0
Table: treasury_journal_entries                 | Count: 0
Table: treasury_limits                          | Count: 0
Table: treasury_risk_limits                     | Count: 0
Table: treasury_risk_policies                   | Count: 0
Table: treasury_workflow_escalations            | Count: 0
Table: truck_checkins                           | Count: 0
Table: units_of_measure                         | Count: 5
Table: user_regions                             | Count: 366
Table: user_roles                               | Count: 367
Table: user_stores                              | Count: 363
Table: user_warehouses                          | Count: 0
Table: users                                    | Count: 367
Table: warehouse_edges                          | Count: 0
Table: warehouse_event_store                    | Count: 0
Table: warehouse_labor_logs                     | Count: 0
Table: warehouse_locations                      | Count: 3
Table: warehouse_nodes                          | Count: 0
Table: warehouse_retention_policies             | Count: 0
Table: warehouse_rules                          | Count: 0
Table: warehouse_saga_states                    | Count: 0
Table: warehouse_tasks                          | Count: 0
Table: warehouse_workflows                      | Count: 0
Table: warehouse_zones                          | Count: 3
Table: warehouses                               | Count: 3
Table: waste_records                            | Count: 0
Table: waves                                    | Count: 0
Table: weekly_product_demand_summary            | Count: 0
Table: work_centers                             | Count: 0
Table: yard_locations                           | Count: 0

================================================================================
Total tables: 735
Total records: 9203
================================================================================
